work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,file_rel_path,frame_index,frame_count,canvas,frame_seconds,total_seconds,playback_mode,alpha_extrema,transparent_pixels,nonzero_alpha_pixels,sha256,source_sheet_rel_path,split_box,inspection_mode,approval_status
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F07.png,7,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",105134,42322,82ecb6586dedc8bd8ebfba739d06d0c64e1fc04c386c1ebc932cad2cd44fbe9c,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(1330, 444, 1774, 887)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,ICON,NEW_ART,ui,ICON/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_ICON.png,static,1,256x256 RGBA,static,static,static,"(0, 255)",31203,34333,b315d02af4c2751900565f6102a8a8842a038656cb7581dfecf4aa5d74034eb8,n/a,n/a,AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,REFERENCE,NEW_ART,false,REFERENCE/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",49956,15580,fdab0b31555182e746735d8a699ab54b9d6b13e3aa14480773c4b6efe0f6d850,SOURCE_SHEETS/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_SOURCE_SHEET.png,"(0, 0, 512, 512)",AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,REFERENCE,NEW_ART,false,REFERENCE/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",46581,18955,6667fb3f1bbdca1e69722aeaa77b58b3ecfdc8b4ab689d3b092b081ce2a8802c,SOURCE_SHEETS/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_SOURCE_SHEET.png,"(512, 0, 1024, 512)",AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,REFERENCE,NEW_ART,false,REFERENCE/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_F02.png,2,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",47311,18225,6a8e007304a8baabca2da940f91d0632f6c21ad284c6971af2b8fb7fe9b3d378,SOURCE_SHEETS/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_SOURCE_SHEET.png,"(1024, 0, 1536, 512)",AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,REFERENCE,NEW_ART,false,REFERENCE/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_F03.png,3,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",45903,19633,4f30af63165464ef68de4b6af7958c76a4e811e5f684ec53c9e94035943d633d,SOURCE_SHEETS/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_SOURCE_SHEET.png,"(0, 512, 512, 1024)",AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,REFERENCE,NEW_ART,false,REFERENCE/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_F04.png,4,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",47928,17608,01d4c4565367700bdafff41e4ed37fa5fdff5e44db5833a1144242f4fb970c37,SOURCE_SHEETS/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_SOURCE_SHEET.png,"(512, 512, 1024, 1024)",AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,REFERENCE,NEW_ART,false,REFERENCE/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_F05.png,5,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",51465,14071,7476713e069f21118857b997f5668d6c842653659c89b9b986ec8641d658ae8e,SOURCE_SHEETS/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_REFERENCE_SOURCE_SHEET.png,"(1024, 512, 1536, 1024)",AUTO+VISUAL,PENDING
003,m_mutant_stone_mask,변형된 스톤마스크,s_mon_mutant_stone_mask,발굴지의 석면,패시브,ICON,NEW_ART,ui,ICON/003_m_mutant_stone_mask_s_mon_mutant_stone_mask_ICON.png,static,1,256x256 RGBA,static,static,static,"(0, 255)",34778,30758,578749aa45835af1bc94f4891b145b8c6877757ed6a6927923553e0781cc7262,n/a,n/a,AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F00.png,0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",82889,64567,d1446e4c3657c81cc32ef35217a26a8640f549fc2ff8d71b0db262bae5056902,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(0, 0, 444, 444)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F01.png,1,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",76292,71164,2ede763b63f09a53fd76faf634f2232df3e2b91a57cb70b71fbb508e87de84a2,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(444, 0, 887, 444)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F02.png,2,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",59150,88306,38473369fc5a94cab7514aeb702ce15d79f2d18d6ebf7e212dec535c55e9033c,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(887, 0, 1330, 444)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F03.png,3,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",51084,96372,7ee798b6ad9dce4988939b92026f0f194fa95051533b1b0a809a06bb6cde1bf4,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(1330, 0, 1774, 444)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F04.png,4,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",57887,89569,b5426c96a74799ec4e4975be84daab88187db0b15945940939da1a7f4fb162fc,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(0, 444, 444, 887)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F05.png,5,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",64493,82963,9c99aa29972934a8f098e3d5404a5833ed58e43f7164f6d18969f1f85000625f,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(444, 444, 887, 887)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F06.png,6,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 254)",66577,80879,387019fc41466cd815c8529f09762937fb24e29848ccb618cf8b545cb285dd36,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(887, 444, 1330, 887)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,CAST,NEW_ART,true,CAST/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_F07.png,7,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",82706,64750,ada58170c6cf0a8c8b3db970f6bfbf402ff980c1691a09cadbdf6f1fd40fa350,SOURCE_SHEETS/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_CAST_SOURCE_SHEET.png,"(1330, 444, 1774, 887)",AUTO+VISUAL,PENDING
004,m_ancient_dark_golem,에인션트 다크골렘,s_mon_ancient_dark_golem,고대 암흑 지진,액티브,ICON,NEW_ART,ui,ICON/004_m_ancient_dark_golem_s_mon_ancient_dark_golem_ICON.png,static,1,256x256 RGBA,static,static,static,"(0, 255)",29907,35629,628a51a86cb50e16f084f14da3307eaf400917b0021a7e2f81b3c29e4a127008,n/a,n/a,AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F00.png,0,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",209053,53091,dd73c057f70ea3219aeaa53a5db80ecd08c52f470ecc97f482fc5463ecbb4570,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(0, 0, 362, 362)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F01.png,1,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",184488,77656,d0f7592b33f11875089b8ae14079d38a06055b09b819481da1b03ebe7a2121ab,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(362, 0, 724, 362)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F02.png,2,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",162789,99355,3fd9fecdc179856fbe4abed7a51ec2fcc1308812b0b4d6ebfe85499a9f30413a,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(724, 0, 1086, 362)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F03.png,3,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",147550,114594,021c81019fd480ba72225b72a3fc74001fed7196a5dfbc87ddc03af89086c1a4,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(1086, 0, 1448, 362)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F04.png,4,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",130310,131834,5b9c65fccbd6b1e7115a257895597591dabc41b9fd29a796ae17385cb3b6b5ee,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(0, 362, 362, 724)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F05.png,5,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",112277,149867,e706641a65d1ba281541b08ab56af76bcbfc79bb302e5deb51fcf1744c9c255e,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(362, 362, 724, 724)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F06.png,6,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",82025,180119,c7a1f64d12220a94e22c76f47088238b40772ebb20527d2b95b65d73fcedbade,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(724, 362, 1086, 724)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F07.png,7,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",104597,157547,e3e77ac75edbebde71e157aa816a18509bc4c9b89cbe6099d0eb31f66f62d629,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(1086, 362, 1448, 724)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F08.png,8,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",122827,139317,deaf5a53fae8fe5818477cd9f3c0abfaea535b46582eef687833585ee8ddf562,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(0, 724, 362, 1086)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F09.png,9,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",144646,117498,4983dd042f2ea37344fc27b7076e4ac0b4aece92d6eca16412029237f757634a,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(362, 724, 724, 1086)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F10.png,10,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 255)",164629,97515,a36110827d71ccab4a78e79245e9a3b56a31bb7aecfaa8389c9c1ec111124c1d,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(724, 724, 1086, 1086)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,CAST,NEW_ART,true,CAST/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_F11.png,11,12,512x512 RGBA,0.08,0.96,non-loop one-shot,"(0, 253)",191374,70770,cd67d7195a00fac43506d23d6e04493cd1c3ca4179f07d828900b3a9abe8813e,SOURCE_SHEETS/005_m_mutant_stumpy_s_mon_mutant_stumpy_CAST_SOURCE_SHEET.png,"(1086, 724, 1448, 1086)",AUTO+VISUAL,PENDING
005,m_mutant_stumpy,변형된 스텀피,s_mon_mutant_stumpy,검은 뿌리의 묘지,액티브,ICON,NEW_ART,ui,ICON/005_m_mutant_stumpy_s_mon_mutant_stumpy_ICON.png,static,1,256x256 RGBA,static,static,static,"(0, 255)",36656,28880,33f6b69461f6a9665c75d010faa9aef6ff99c4e4d9b4e8c9651e5ed273b8860c,n/a,n/a,AUTO+VISUAL,PENDING
