area_id,monster_id,skill_id,effect_role,production_decision,relative_path,frame_index,size,frame_count_contract,frame_seconds,total_seconds,playback_mode,runtime_use,source_sheet,split_box,validation_mode,validation_alpha,validation_transparent_corners,validation_edge_touch,user_art_approval
area_05,m_blue_pig,s_mon_blue_pig,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F00.png,0,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/blue_ref_SOURCE_SHEET.png,"(0, 0, 256, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_blue_pig,s_mon_blue_pig,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F01.png,1,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/blue_ref_SOURCE_SHEET.png,"(256, 0, 512, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_blue_pig,s_mon_blue_pig,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F02.png,2,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/blue_ref_SOURCE_SHEET.png,"(512, 0, 768, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_blue_pig,s_mon_blue_pig,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F03.png,3,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/blue_ref_SOURCE_SHEET.png,"(0, 256, 256, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_blue_pig,s_mon_blue_pig,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F04.png,4,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/blue_ref_SOURCE_SHEET.png,"(256, 256, 512, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_blue_pig,s_mon_blue_pig,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F05.png,5,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/blue_ref_SOURCE_SHEET.png,"(512, 256, 768, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,ICON,NEW_ART,ICON/003_m_starfish_s_mon_starfish_ICON.png,0,256x256,1,static,static,static,ui,SOURCE_SHEETS/icons_SOURCE_SHEET.png,"(512, 0, 768, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F00.png,0,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(0, 0, 384, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F01.png,1,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(384, 0, 768, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F02.png,2,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(768, 0, 1152, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F03.png,3,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(1152, 0, 1536, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F04.png,4,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(0, 384, 384, 768)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F05.png,5,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(384, 384, 768, 768)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F06.png,6,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(768, 384, 1152, 768)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_starfish,s_mon_starfish,CAST_VFX,NEW_ART,CAST/003_m_starfish_s_mon_starfish_CAST_F07.png,7,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/starfish_cast_SOURCE_SHEET.png,"(1152, 384, 1536, 768)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,ICON,NEW_ART,ICON/004_m_jellyfish_s_mon_jellyfish_ICON.png,0,256x256,1,static,static,static,ui,SOURCE_SHEETS/icons_SOURCE_SHEET.png,"(0, 256, 256, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F00.png,0,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/jelly_ref_SOURCE_SHEET.png,"(0, 0, 256, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F01.png,1,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/jelly_ref_SOURCE_SHEET.png,"(256, 0, 512, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F02.png,2,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/jelly_ref_SOURCE_SHEET.png,"(512, 0, 768, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F03.png,3,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/jelly_ref_SOURCE_SHEET.png,"(0, 256, 256, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F04.png,4,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/jelly_ref_SOURCE_SHEET.png,"(256, 256, 512, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_jellyfish,s_mon_jellyfish,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F05.png,5,256x256,6,0.10,0.6000000000000001,preview-only non-loop,false,SOURCE_SHEETS/jelly_ref_SOURCE_SHEET.png,"(512, 256, 768, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,ICON,NEW_ART,ICON/005_m_king_clang_s_mon_king_clang_ICON.png,0,256x256,1,static,static,static,ui,SOURCE_SHEETS/icons_SOURCE_SHEET.png,"(256, 256, 512, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F00.png,0,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(0, 0, 512, 512)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F01.png,1,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(512, 0, 1024, 512)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F02.png,2,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(1024, 0, 1536, 512)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F03.png,3,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(1536, 0, 2048, 512)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F04.png,4,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(0, 512, 512, 1024)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F05.png,5,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(512, 512, 1024, 1024)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F06.png,6,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(1024, 512, 1536, 1024)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F07.png,7,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(1536, 512, 2048, 1024)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F08.png,8,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(0, 1024, 512, 1536)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F09.png,9,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(512, 1024, 1024, 1536)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F10.png,10,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(1024, 1024, 1536, 1536)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_king_clang,s_mon_king_clang,CAST_VFX,NEW_ART,CAST/005_m_king_clang_s_mon_king_clang_CAST_F11.png,11,512x512,12,0.08,0.96,non-loop one-shot,true,SOURCE_SHEETS/king_cast_SOURCE_SHEET.png,"(1536, 1024, 2048, 1536)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
