id,name,item_type,slot,stat_atk,stat_int,stat_def,stat_luk,stat_all,heal_hp,stack_max,drop_from,drop_rate,icon_ruid,note,passive_stat,passive_value,avatar_category
i_dark_root,브라운 도로네스 로브,equip,armor,0,6,0,0,0,0,5,m_dark_axe_stump,0.03,thumbnail://f39e411e89c14edc9626d92bae852609,다크 엑스텀프 실제 장비 드랍. 원작 아이템 1051003,,,longcoat
i_boar_tusk,나카마키,equip,weapon,6,0,0,0,0,0,5,m_wild_boar,0.03,thumbnail://72ebf19a38fd48148c8edb6d7e903fb5,와일드보어 실제 장비 드랍. 원작 아이템 1432003,,,twohandedweapon
i_bone_plate,블루 오리엔타이칸,equip,armor,0,0,6,0,0,0,5,m_skeleton_commander,0.03,thumbnail://5ff22c21c2d54e27ac46a79dfbdfa6ac,스켈레톤 지휘관 실제 장비 드랍. 원작 아이템 1040092,,,coat
i_bronze_crusader_helm,브론즈 크루세이더 헬름,equip,armor,0,0,6,0,0,0,5,m_iron_hog,0.03,thumbnail://1147bf323fb74b949312a89dc350f506,아이언 호그 실제 장비 드랍. 기존 장비 스탯 유지. 원작 아이템 1002086,,,cap
i_fire_tusk,크리스탈 완드,equip,weapon,0,6,0,0,0,0,5,m_fire_boar,0.03,thumbnail://102c15b28a944d2f905872dd10f795ec,파이어보어 실제 장비 드랍. 원작 아이템 1372012,,,onehandedweapon
i_stumpy_sapling,다크 크라페,equip,armor,0,0,0,0,4,0,5,m_stumpy,0.02,thumbnail://06caa2bdbad9488ba9acfe336df01da6,스텀피 실제 장비 드랍. 원작 아이템 1002170,,,cap
i_slime_bubble,레모나,equip,armor,0,0,5,0,0,0,5,m_slime,0.03,thumbnail://cfbfec45bb1c4f4495f206b81c212f7c,슬라임 실제 장비 드랍. 원작 아이템 1082019,,,glove
i_fairy_heart,빨간하트 귀고리,equip,accessory,0,5,0,0,0,0,5,m_fairy,0.03,thumbnail://84c16d587fbc465fbb4beee1e8bf27bc,페어리 실제 장비 드랍. 원작 아이템 1032013,,,earaccessory
i_dark_bark,사각 나무 방패,equip,armor,0,0,5,0,0,0,5,m_dark_stump,0.03,thumbnail://7d4cc6871503458bb8de7576c7047ef3,다크 스텀프 실제 장비 드랍. 원작 아이템 1092003,,,shield
i_maple_sword,메이플 소드,equip,weapon,0,0,0,5,0,0,5,m_bubbling,0.03,thumbnail://4668b7ab224449fc94805e2e6cb0f6f5,버블링 실제 장비 드랍. 기존 장비 스탯 유지. 원작 아이템 1302020,,,onehandedweapon
i_faust_tail,크로미,equip,weapon,0,0,0,0,3,0,5,m_faust,0.02,thumbnail://f40b305407874e928e59ca9d6c9090fd,파우스트 실제 장비 드랍. 원작 아이템 1372007,,,onehandedweapon
i_octopus_leg,한쪽 은 귀고리,equip,accessory,0,7,0,0,0,0,5,m_octopus,0.03,thumbnail://42998039a9db44c3a4fb866967748ee8,옥토퍼스 실제 장비 드랍. 원작 아이템 1032001,,,earaccessory
i_work_glove,노가다 목장갑,equip,armor,0,0,0,7,0,0,5,m_stirge,0.03,thumbnail://2e58683f2f094f099a0813c36e278dd5,스티지 실제 장비 드랍. 기존 장비 스탯 유지. 원작 아이템 1082002,,,glove
i_jr_wraith_cloak,다크 크로스 체인메일,equip,armor,0,0,7,0,0,0,5,m_jr_wraith,0.03,thumbnail://e9f071e143634b1cb397d53af302ab7e,주니어 레이스 실제 장비 드랍. 원작 아이템 1050022,,,longcoat
i_maple_lama_staff,메이플 라마 스태프,equip,weapon,0,7,0,0,0,0,5,m_wraith,0.03,thumbnail://be49540382d54da6a01fefcc4cd10e83,레이스 실제 장비 드랍. 기존 장비 스탯 유지. 원작 아이템 1382012,,,onehandedweapon
i_shade_charm,베이지 우산,equip,weapon,0,0,0,0,4,0,5,m_shade,0.02,thumbnail://6089a3f4e8e64cfca32824c3d1c96847,셰이드 실제 장비 드랍. 원작 아이템 1302029,,,onehandedweapon
i_red_ribbon,자수정 귀고리,equip,accessory,0,0,0,8,0,0,5,m_ribbon_pig,0.03,thumbnail://62d38d3d1bfb4412a7ccd9f169b1a142,리본 돼지 실제 장비 드랍. 원작 아이템 1032003,,,earaccessory
i_steel_mail,스틸 메일,equip,armor,0,0,8,0,0,0,5,m_blue_pig,0.03,thumbnail://d936956da3ec44079be5dcb6bf08a69f,파란 리본돼지 실제 장비 드랍. 기존 장비 스탯 유지. 원작 아이템 1051000,,,longcoat
i_starfish_spine,아쿠아 스노우보드,equip,weapon,8,0,0,0,0,0,5,m_starfish,0.03,thumbnail://70c2515b138b47ee9ea8686c73f806c3,불가사리와 맞춘 노틸러스 수중 장비. 원작 아이템 1442013,,,twohandedweapon
i_dragon_halberd,구룡도,equip,weapon,0,8,0,0,0,0,5,m_jellyfish,0.03,thumbnail://46424df07a1c4f139784aa859051b4bd,쿨 젤리피쉬 실제 장비 드랍. 기존 장비 스탯 유지. 원작 아이템 1442005,,,twohandedweapon
i_balrog_soul,이블윙즈,equip,weapon,0,0,0,0,5,0,5,m_jr_balrog,0.02,thumbnail://364ee9432c284089a568d1b51059d795,주니어 발록 실제 장비 드랍. 원작 아이템 1382007,,,onehandedweapon
i_hero_sword,히어로의 검,passive,,0,0,0,0,0,0,5,m_adv_hero,0.02,thumbnail://5c17efb794334d4980987edaace1f546,히어로 보스 전용 확정 보상. 인벤토리 보유 1개당 STR +10 최대 5개,STR,10,
i_bowmaster_bow,보우마스터의 활,passive,,0,0,0,0,0,0,5,m_adv_bowmaster,0.02,thumbnail://3da6e65b218d41178c839b03306da803,보우마스터 보스 전용 확정 보상. 인벤토리 보유 1개당 DEX +10 최대 5개,DEX,10,
i_zombie_blue_pilfer,블루 필퍼,equip,armor,0,0,9,0,0,0,5,m_zombie_mushroom,0.03,thumbnail://0516947e3f304b44963c445ada9d0806,블루 필퍼 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,cap
i_copper_chainmail,블루 이너스 체인메일,equip,armor,0,0,9,0,0,0,5,m_copper_drake,0.03,thumbnail://30289888185f4882bfbdb782b79e781f,블루 이너스 체인메일 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,coat
i_drake_zeco,제코,equip,weapon,9,0,0,0,0,0,5,m_drake,0.03,thumbnail://270d3a67004d4ff784801ee6f1ec77b9,제코 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,twohandedweapon
i_kargo_anakamoon,다크 아나카문,equip,armor,0,9,0,0,0,0,5,m_wild_kargo,0.03,thumbnail://6e4f1a2f9b6e42d6ae9f03d9e50cb30d,다크 아나카문 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,longcoat
i_tauromacis_sledge,기간틱 슬레지,equip,weapon,10,0,0,0,0,0,5,m_tauromacis,0.03,thumbnail://c76fe20ed9934413837a2b3d267ef74b,기간틱 슬레지 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,onehandedweapon
i_star_blue_moon,블루 문,equip,accessory,0,0,0,10,0,0,5,m_star_pixie,0.03,thumbnail://1930b885522f4328975d192b7e3974f2,블루 문 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,earaccessory
i_cellion_moon_shoes,레드 문슈즈,equip,armor,0,0,10,0,0,0,5,m_jr_cellion,0.03,thumbnail://003950a831b04798a44a6c98c2369d37,레드 문슈즈 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,shoes
i_lunar_engrit,다크 잉그리트,equip,armor,0,10,0,0,0,0,5,m_lunar_pixie,0.03,thumbnail://9ba62d43125b43c591663f70122e61a7,다크 잉그리트 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,longcoat
i_luster_noel,다크 노엘,equip,armor,0,0,10,0,0,0,5,m_luster_pixie,0.03,thumbnail://8aa7b0b6cdb74e988f1636675c6357d3,다크 노엘 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,glove
i_eliza_cloud_cape,노란 누더기 망토,equip,accessory,0,0,0,0,10,0,5,m_eliza,0.02,thumbnail://6bb8f406338245b49f0079b0e9702a3f,노란 누더기 망토 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,cape
i_yeti_snow_boots,눈송이 부츠,equip,armor,0,0,11,0,0,0,5,m_jr_yeti,0.03,thumbnail://d40b14b4e53d4dcaa7abd35224e9e994,눈송이 부츠 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,shoes
i_dark_yeti_moon_shoes,다크 문슈즈,equip,armor,0,0,11,0,0,0,5,m_dark_jr_yeti,0.03,thumbnail://9e83794176804f089f1ec8069e178f08,다크 문슈즈 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,shoes
i_hector_warm_cape,온화의 망토,equip,accessory,0,0,0,0,11,0,5,m_hector,0.03,thumbnail://a50a3a381d52464084baa2de3b256b32,온화의 망토 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,cape
i_whitefang_hinkel,블루 힌켈,equip,weapon,11,0,0,0,0,0,5,m_white_fang,0.03,thumbnail://1be945649c7d4582986d2e90b7a8fc12,블루 힌켈 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,twohandedweapon
i_snow_witch_cape,설빙의 망토,equip,accessory,0,12,0,0,0,0,5,m_snow_witch,0.02,thumbnail://154277b8d0bb4434b9d8925c3aac622f,설빙의 망토 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,cape
i_bubble_goggles,파란색 물안경,equip,accessory,0,0,0,0,12,0,5,m_bubble_fish,0.03,thumbnail://ba816bdda0044cbdb25fae7062545383,파란색 물안경 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,cap
i_mask_aqua_board,아쿠아 스노우보드,equip,weapon,12,0,0,0,0,0,5,m_mask_fish,0.03,thumbnail://70c2515b138b47ee9ea8686c73f806c3,아쿠아 스노우보드 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,twohandedweapon
i_squid_pirate_pants,다크 피라테 바지,equip,armor,0,0,12,0,0,0,5,m_squid,0.03,thumbnail://e45338a6d1464d52a6a91b2175d96696,다크 피라테 바지 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,pants
i_shark_skipper_boots,샤크투스 스키퍼부츠,equip,armor,0,0,12,0,0,0,5,m_shark,0.03,thumbnail://6b01017e6d95406c9132e1c74ca14863,샤크투스 스키퍼부츠 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,shoes
i_pianus_bluemarine,블루마린,equip,weapon,0,13,0,0,0,0,5,m_pianus,0.02,thumbnail://86deed73ea274107b9055048adc4474b,블루마린 장비 보상. 원작 MSW 아바타 아이템과 이름과 아이콘을 일치시킴,,,onehandedweapon
i_ratz_toy_propeller,장난감 프로펠러,equip,armor,0,0,14,0,0,0,5,m_ratz,0.03,thumbnail://1efd0c8d09f24cc9b3965078c3f4c707,장난감 프로펠러 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_drumming_toy_shoes,장난감 구두,equip,armor,0,0,14,0,0,0,5,m_drumming_bunny,0.03,thumbnail://421ffff466c14950ae2b28eb94026043,장난감 구두 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,shoes
i_bloctopus_block_friends,블록 친구들,equip,weapon,14,0,0,0,0,0,5,m_bloctopus,0.03,thumbnail://54abd55cf81b4c0a92ba9552d08195d8,블록 친구들 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,onehandedweapon
i_king_toy_wand,장난감 마술봉,equip,weapon,0,14,0,0,0,0,5,m_king_bloctopus,0.03,thumbnail://36638a19057749859e3f74573083786e,장난감 마술봉 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,onehandedweapon
i_rombot_toy_gun,장난감 총,equip,weapon,15,0,0,0,0,0,5,m_rombot,0.02,thumbnail://6139c0bbdeca4e1ea36a2085bb27c5c7,장난감 총 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,twohandedweapon
i_teddy_toy_memory,장난감의 추억,equip,armor,0,0,15,0,0,0,5,m_brown_teddy,0.03,thumbnail://b941359ce02e4d4fac38a64b6f5e39c2,장난감의 추억 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,longcoat
i_trojan_toy_loafers,장난감 로퍼,equip,armor,0,0,15,0,0,0,5,m_toy_trojan,0.03,thumbnail://96f0348b734441938e69cca731c5c8f0,장난감 로퍼 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,shoes
i_robo_blue_watch,블루 전자시계,equip,accessory,0,0,0,0,15,0,5,m_master_robo,0.03,thumbnail://3069e862d9f44f239a90746172cc39e0,블루 전자시계 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,glove
i_chronos_clockwork_doll,시계탑 태엽 인형,equip,accessory,0,15,0,0,0,0,5,m_chronos,0.03,thumbnail://97e5c95ed75b4820915f5624c988532b,시계탑 태엽 인형 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cape
i_timer_master_time,마스터 타임,equip,weapon,0,16,0,0,0,0,5,m_timer,0.02,thumbnail://1ab8680c9aa64b4e85b46b23708f472f,마스터 타임 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,onehandedweapon
i_rabbit_desert_fox,사막여우,equip,armor,0,0,16,0,0,0,5,m_white_sand_rabbit,0.03,thumbnail://cbec4354aa874206a313aefac24dfb3c,사막여우 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_plead_arabian_hat,아라비안 모자,equip,armor,0,0,16,0,0,0,5,m_scarf_plead,0.03,thumbnail://7ce62ca658194bea91c1926532d5695d,아라비안 모자 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_meercat_leather_sandals,가죽 샌들,equip,armor,0,0,16,0,0,0,5,m_meercat,0.03,thumbnail://202544d7095c42c5bfb3046619ab58cc,가죽 샌들 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,shoes
i_dwarf_wilderness,황야,equip,armor,0,0,16,0,0,0,5,m_sand_dwarf,0.03,thumbnail://69d19ba5a3214eaa8a8d1d99969a1136,황야 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,coat
i_deo_silent_legend,적막한 전설,equip,armor,0,0,0,0,17,0,5,m_deo,0.02,thumbnail://054e596570c2492588ad62d5d0cc426f,적막한 전설 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_cube_alchemist_hat,연금술사의 모자,equip,armor,0,17,0,0,0,0,5,m_cube_slime,0.03,thumbnail://998b684ad4084177b785e13305b88dd3,연금술사의 모자 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_mutae_alcadno_cape,알카드노의 망토,equip,accessory,0,0,17,0,0,0,5,m_mithril_mutae,0.03,thumbnail://899285a5cd2a419e9711a465f299b22e,알카드노의 망토 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cape
i_homun_alchemist_workwear,연금술사의 작업복,equip,armor,0,17,0,0,0,0,5,m_homun,0.03,thumbnail://127f8168219240ec9837ccfc36418d76,연금술사의 작업복 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,longcoat
i_roid_zenumist_cape,제뉴미스트의 망토,equip,accessory,0,0,0,0,17,0,5,m_roid,0.03,thumbnail://c6db07a8f07d4b03af4303cb610f5f9e,제뉴미스트의 망토 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cape
i_chimera_corrupted_staff,변질된 알리샤의 스태프,equip,weapon,0,18,0,0,0,0,5,m_chimera,0.02,thumbnail://7750ca7207d24a2b82ad25ba7490def5,변질된 알리샤의 스태프 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,onehandedweapon
i_king_clang_yellow_umbrella,노란 우산,equip,weapon,0,10,0,0,0,0,5,m_king_clang,0.02,thumbnail://8668230e7f024e21997ad7f0518db3e3,킹크랑의 과거 실제 장비 드랍. 원작 아이템 1302016,,,onehandedweapon
i_straw_sky_hat,하늘빛 밀짚모자,equip,armor,0,0,18,0,0,0,5,m_straw_dummy,0.03,thumbnail://abf910f4f997446b8584a68c3abe2538,하늘빛 밀짚모자 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_wooden_vintage_sword,빈티지 목검,equip,weapon,18,0,0,0,0,0,5,m_wooden_dummy,0.03,thumbnail://a4a6f89d85bd489a89d94568494e13db,빈티지 목검 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,twohandedweapon
i_peach_shoes,복숭아 신발,equip,armor,0,0,18,0,0,0,5,m_peach_monkey,0.03,thumbnail://8402529ed99c4b44bdd3e6f06f52b187,복숭아 신발 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,shoes
i_serpent_blue_robe,블루 아모리아 로브,equip,armor,0,18,0,0,0,0,5,m_blue_flower_serpent,0.03,thumbnail://8e9358f6894b42588c87e77dc2f0dc72,블루 아모리아 로브 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,coat
i_tae_blue_panda_glove,블루 판다 인형장갑,equip,armor,0,0,0,0,19,0,5,m_tae_roon,0.02,thumbnail://69e79e0bec85410183a0e615f6dcaf94,블루 판다 인형장갑 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,glove
i_harp_music_earrings,음표 귀고리,equip,accessory,0,0,0,0,19,0,5,m_harp,0.03,thumbnail://c6e5a783b51141a880467abba12cfc0a,음표 귀고리 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,earaccessory
i_blood_harp_red_cape,낡은 붉은 망토,equip,accessory,0,0,19,0,0,0,5,m_blood_harp,0.03,thumbnail://48b2daf21f7c4f9f94f33580f8d57ee4,낡은 붉은 망토 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cape
i_blue_wyvern_dragon_glove,블루 드래곤 글러브,equip,armor,0,0,19,0,0,0,5,m_blue_wyvern,0.03,thumbnail://753b0974731d40888931b7fbbf6d8638,블루 드래곤 글러브 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,glove
i_dark_wyvern_flying_cape,비룡의 망토,equip,accessory,0,0,0,19,0,0,5,m_dark_wyvern,0.03,thumbnail://a7dd4be0fdcb46279cfb815f8362ad7b,비룡의 망토 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cape
i_manon_dragons_fury,드래곤의 분노,equip,weapon,20,0,0,0,0,0,5,m_manon,0.02,thumbnail://14849b6ff7f84bc4af5c3dd24840b4ce,드래곤의 분노 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,twohandedweapon
i_memory_shadow_hood,그림자 후드,equip,armor,0,20,0,0,0,0,5,m_memory_monk,0.03,thumbnail://0626626852934ab2b48bf210e0f23b82,그림자 후드 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
i_trainee_memory_suit,아름다운 추억의 정장,equip,armor,0,20,0,0,0,0,5,m_memory_monk_trainee,0.03,thumbnail://d83a483c3e054ea08dce319e698939a8,아름다운 추억의 정장 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,longcoat
i_memory_dragon_shield,드래곤 실드,equip,weapon,0,0,20,0,0,0,5,m_memory_guardian,0.03,thumbnail://ca24b351792a49f6956ae32c7dc77a6c,드래곤 실드 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,shield
i_chief_guardian_glove,가디언 글러브,equip,armor,0,0,20,0,0,0,5,m_chief_memory_guardian,0.03,thumbnail://558ef9a2b6df41de8d4bc009a936d922,가디언 글러브 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,glove
i_dodo_timeless_shafthead,타임리스 샤프트헤드,equip,weapon,21,0,0,0,0,0,5,m_dodo,0.02,thumbnail://1145c0c325a5477ca0c07002c20c27cb,타임리스 샤프트헤드 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,onehandedweapon
i_mateon_alien_earrings,외계인 조각 귀고리,equip,accessory,0,0,0,0,21,0,5,m_mateon,0.03,thumbnail://4a6e685779fb4a73bc14e87e04b2e328,외계인 조각 귀고리 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,earaccessory
i_plateon_laser_sword,레이저 소드,equip,weapon,21,0,0,0,0,0,5,m_plateon,0.03,thumbnail://e2ea2b5132924e9ebafd4aad51e622fb,레이저 소드 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,twohandedweapon
i_mecateon_twinkle_ufo,반짝반짝 UFO,equip,weapon,0,21,0,0,0,0,5,m_mecateon,0.03,thumbnail://2ba0349079e643439f12d65d389fea15,반짝반짝 UFO 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,onehandedweapon
i_chief_gray_strange_glasses,기묘한 안경,equip,accessory,0,0,0,21,0,0,5,m_chief_gray,0.03,thumbnail://c3d6a2ee35044375bbf5c7cb25de9eb3,기묘한 안경 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,eyeaccessory
i_zeno_galaxy_helmet,메이플 갤럭시 헬멧,equip,armor,0,0,22,0,0,0,5,m_zeno,0.02,thumbnail://1cbfc4fdf3b64b7eaf35ab0753add735,메이플 갤럭시 헬멧 장비 보상. 공식 MSW 아바타 아이템 이름과 아이콘을 일치시킴,,,cap
