id,name,level,hp,def,exp,drop_skill_id,model_id,combat_skill_ids,collection_icon_ruid,companion_visual_ruid
m_shade,셰이드,40,1478,821,206,s_mon_shade,shade,,4f763744e0ac49469d2305e3c73254b7,78864f612e9e43bf8e44090fc075c693
m_ribbon_pig,리본 돼지,41,1512,840,226,s_mon_ribbon_pig,ribbonpig,,6a699b8c31b94474bb795c7394c3af3b,efd4d44e0da7496bac4c350def33a108
m_blue_pig,파란 리본돼지,43,1580,878,274,s_mon_blue_pig,bluepig,,cba2695db0034210a59cd88b5894457b,b4b0c35338e5479fa7ad54a6a4944ad4
m_starfish,불가사리,45,1649,916,331,s_mon_starfish,starfish,,03351051e9e54fca87469eaa47c5398b,eea4df40ecb748888cdcceb6fde3a7b9
m_jellyfish,쿨 젤리피쉬,48,1751,973,441,s_mon_jellyfish,jellyfish,,aef6048234a447c993fbdac54940f8f9,c86e1072350e413183e11e4f20f0898a
m_jr_balrog,주니어 발록,70,2504,1391,3590,s_mon_jr_balrog,jrbalrog,,4b3ad414c1184c02b5eb459b29ee8ece,4f60f3e6658d439aa7aa35f23a155d9d
m_zombie_mushroom,좀비버섯,61,2196,1220,1522,s_mon_zombie_mushroom,zombiemushroom,,3ee3fc0f4d2e443cbb9ec424dd2c012f,c23b523cd2c14558bf5812999db8690f
m_copper_drake,카파 드레이크,63,2264,1258,1842,s_mon_copper_drake,copperdrake,,da160cd4b78c479ab8dfaa225b2dcd47,dc5a939bc6c14988837a63c86fb701f0
m_drake,드레이크,65,2333,1296,2229,s_mon_drake,drake,,f8cfac4e30394735861603f6bfcb1932,c1c6069005ef4fb3bf104eea7a52df3d
m_wild_kargo,와일드카고,68,2435,1353,2967,s_mon_wild_kargo,wildkargo,,7d1c1d17eff44687b35ca0d5108084dc,18bc35666910441f98a80bd4a24010c8
m_tauromacis,타우로마시스,70,2504,1391,3590,s_mon_tauromacis,tauromacis,,5ef751fd743e41609bf98e03de4df51c,c62af154ef414ebaa329a68d79b5cc37
m_star_pixie,스타픽시,71,2538,1410,3949,s_mon_star_pixie,starpixie,,ca136923b7e84267af993bdbabada385,a25f27e01d7446c6910550d595ef08b6
m_jr_cellion,주니어 샐리온,73,2606,1448,4778,s_mon_jr_cellion,jrcellion,,016bc9a459104e2a8a2fea03d7130519,966306ea1fca44fe861a2b6e7043e15d
m_lunar_pixie,루나픽시,75,2675,1486,5781,s_mon_lunar_pixie,lunarpixie,,ff4a57bc3d4a4488b0053c33f4c3369f,6c09e340af2f4ca697463ef36a95f523
m_luster_pixie,러스터픽시,78,2777,1543,7695,s_mon_luster_pixie,lusterpixie,,35f555b27d3a4d438224a29e73fac305,7230c88964604573b9b687a919855b00
m_eliza,엘리쟈,80,2846,1581,9311,s_mon_eliza,eliza,,d458879e2e2949f2bb2e915ff67fbc64,e4e1fb8384994d8890b786f7b9df93a3
m_jr_yeti,주니어 예티,81,2880,1600,10242,s_mon_jr_yeti,jryeti,,1975dd704eec461ab49bdeb0c11c54d9,842a6865f7074f94ac4a190ed90e2e21
m_dark_jr_yeti,다크 주니어 예티,83,2948,1638,12393,s_mon_dark_jr_yeti,darkjryeti,,ce56cf9613174f80976dab5b61f7b604,8d2b8951794d406a86cc580e9eeff18d
m_hector,헥터,85,3017,1676,14995,s_mon_hector,hector,,7dcc64a4725b4777b8f86a5404b4d4cc,5e3fe57af79849ec9fd521dbd498f70d
m_white_fang,화이트팽,88,3119,1733,19959,s_mon_white_fang,whitefang,,aaa3b506804d4418b025da47dbb65b3f,a669487dc36d43df99ecef932ccf6f00
m_snow_witch,설산의 마녀,90,3188,1771,24150,s_mon_snow_witch,snowwitch,,4b50438f59154f41aba918b2d28bb8d2,8816e805196a4f09aca79f27de12ade8
m_bubble_fish,버블피쉬,91,3222,1790,26565,s_mon_bubble_fish,bubblefish,,c968133e75534a1b933d28da29c4e584,20946ff7a9ed48bb8a92a69d035a0133
m_mask_fish,마스크피쉬,93,3290,1828,32144,s_mon_mask_fish,maskfish,,fb9037f43fcd442a971ee007b9f7cc26,49a2600dc1af49e495508a8dc9387168
m_squid,스퀴드,95,3359,1866,38894,s_mon_squid,squid,,013b3e6ba18249269e4a1b85c536a0d9,6adccbc2b8f64db8a62022711bcf8747
m_shark,샤크,98,3461,1923,51768,s_mon_shark,shark,,b95f05df46124b3485d0a15bb79b10fb,5c1f92f9c3b4410fb5b14abdaed83820
m_pianus,피아누스,100,3530,1961,62639,s_mon_pianus,pianus,,207c5d6dcee243ad9a141397244ba9a9,207c5d6dcee243ad9a141397244ba9a9
m_ratz,라츠,101,3564,1980,68903,s_mon_ratz,ratz,,383e34f2a8584a96a01b80a8fadbb813,b5df6800c752484eb85105a082bacb5d
m_drumming_bunny,북치는 토끼,103,3632,2018,83373,s_mon_drumming_bunny,drummingbunny,,20283346c1db42b593fdddb218ea769a,213bcc0125864e56ae52cf6a6eef4bc0
m_bloctopus,블록퍼스,105,3701,2056,100881,s_mon_bloctopus,bloctopus,,826410e1bd4e4a12a612ab642c19c705,5417210796834fe8a6648451ec86a395
m_king_bloctopus,킹 블록퍼스,108,3803,2113,134273,s_mon_king_bloctopus,kingbloctopus,,cb5eb9faaf68477292af0b710e383c9d,85bf19a24eb54ac1b7c83313acf0115a
m_rombot,롬바드,110,3872,2151,162470,s_mon_rombot,rombot,,b41def4288404055b3b8850daa99cfbf,041d85c246e04fc7a92959175e434d4c
m_brown_teddy,브라운테니,111,3906,2170,178717,s_mon_brown_teddy,brownteddy,,46fd51a318b64738a36beeb3db02a970,dcdfa9fce83949229330906599350caa
m_toy_trojan,장난감 목마,113,3974,2208,216247,s_mon_toy_trojan,toytrojan,,f9a2d6e8feaf4c90a3e00d022932fdaa,99f7ff29ebb245358c50dcddc2716e8d
m_master_robo,마스터 로보,115,4043,2246,261659,s_mon_master_robo,masterrobo,,f5d65e28cb0e4990bf5727015f22e0f1,58bf9d896e6d4e11a80498dd5e39fb01
m_chronos,크로노스,118,4145,2303,348268,s_mon_chronos,chronos,,1356c7ad27254459aaf789b51a75875c,2e361c296dd94cab820ede0791a44553
m_timer,타이머,120,4214,2341,421405,s_mon_timer,timer,,cbdd230e5cd34b7b9eeb1cd206d19f34,684685ca8dc84aac920f77e5c5d871f1
m_white_sand_rabbit,흰 모래토끼,121,4248,2360,463545,s_mon_white_sand_rabbit,whitesandrabbit,,981c64ae30bd4f98aef886e9314d8e64,1eaee5c96fec4a07afdf902b96e3a0d8
m_scarf_plead,목도리 프릴드,123,4316,2398,560890,s_mon_scarf_plead,scarfplead,,30e7faf77c6c41d583f341c234220597,04c69afe7f3e4706a596a624acf3849d
m_meercat,미요캐츠,125,4385,2436,678677,s_mon_meercat,meercat,,fc3c2944ce44425c8d7f302a8610b886,ba94d969ce604f7b805b80eab305c5e0
m_sand_dwarf,모래난쟁이,128,4487,2493,903319,s_mon_sand_dwarf,sanddwarf,,64f166fa4e5445bc982071dea297d988,06c4eb04f5f249af9a73705648ca9c33
m_deo,데우,130,4556,2531,1093016,s_mon_deo,deo,,6cf930e280f44694a0a0feedbfd855ed,196bfc9fe38b4266b279f1b3be53c5dc
m_cube_slime,큐브슬라임,131,4590,2550,1202317,s_mon_cube_slime,cubeslime,,e93e27480f1043ef8e51fa3b0906a4d9,4a141fc777a14395b6af8444cef50d73
m_mithril_mutae,미스릴 뮤테,133,4658,2588,1454804,s_mon_mithril_mutae,mithrilmutae,,b06abb18fb52476d8bc7bdd5e46abe19,679e977d594e4392a9848f0e16571aa0
m_homun,호문,135,4727,2626,1760313,s_mon_homun,homun,,8f0fb531779d41738664009091d7b017,f46c4862e92746afb183cd7351ce36f4
m_roid,로이드,138,4829,2683,2342976,s_mon_roid,roid,,364bc76e0cc3429ea8ca758319ec7678,839a58c5ea2e47399f9166d2b034fbd6
m_chimera,키메라,140,4898,2721,2835001,s_mon_chimera,chimera,,3f5236d28b1f409797fe7c4b48743b8a,602442e3a83c423b92d2245fb6384858
m_king_clang,킹크랑,60,2162,1201,1384,s_mon_king_clang,kingclang,,cddcc91429d24abbb0c071135ace8b39,edb7787a772d43f180767aaf60947486
m_straw_dummy,수련용 짚인형,141,4932,2740,3118501,s_mon_straw_dummy,strawdummy,,4b1d55e35ae9462b944297691025429a,12f21e7ce0dc451e8c5cccc5f5cbdc3d
m_wooden_dummy,수련용 나무인형,143,5000,2778,3773387,s_mon_wooden_dummy,woodendummy,,91ff481190624f0fa850c86c8d3bdbde,1ad77c5bc77f4ee3a7b212d6394f0b13
m_peach_monkey,원공,145,5069,2816,4565798,s_mon_peach_monkey,peachmonkey,,15e255981ed54cf092a136b1526aa055,357bcaed16cd44adba2806db9ee7a095
m_blue_flower_serpent,청화사,148,5171,2873,6077077,s_mon_blue_flower_serpent,blueflowerserpent,,75dc3d98cc1243298dca02fd708bcb34,a053c179bc29460da4238fb45bb755f3
m_tae_roon,태륜,150,5240,2911,7353263,s_mon_tae_roon,taeroon,,0e1e782401624d7693959777c0b16ebe,52eef131b7604e758e7dd92fb803a64e
m_harp,하프,151,5274,2930,8088589,s_mon_harp,harp,,96bd8dd2077844d1a0e5ce6b956d94ef,e9c9f7d1a0a64accb03ff506b72a601e
m_blood_harp,블러드 하프,153,5342,2968,9787193,s_mon_blood_harp,bloodharp,,8c2ec5bf58894061a19479ed7545637b,5004df97436a49458160b2c48e9f3748
m_blue_wyvern,블루 와이번,155,5411,3006,11842503,s_mon_blue_wyvern,bluewyvern,,07bc82953fca4677bc00f74680ec337b,40eb0fc11d894ba195a05e5ae7a05e67
m_dark_wyvern,다크 와이번,158,5513,3063,15762372,s_mon_dark_wyvern,darkwyvern,,2d932a6e7989426a9856fb5fc2d0e59f,af21747f71154e3392d2669160dceb81
m_manon,마뇽,160,5582,3101,19072470,s_mon_manon,manon,,b8cdd7920392456f99272649c7cb7c2d,7988e04f93f749e39d199da40324bf5f
m_memory_monk,추억의 사제,161,5616,3120,20979717,s_mon_memory_monk,memorymonk,,36ff7a667243465caef855b4fb7b9f84,fd234d210d06488cad1fc407a7cbf325
m_memory_monk_trainee,추억의 신관,163,5684,3158,25385458,s_mon_memory_monk_trainee,memorymonktrainee,,699e78db5d3a48578388d33dc333258a,d3af70dfe4684b4e9e612c708c9b7ded
m_memory_guardian,추억의 수호병,165,5753,3196,30716404,s_mon_memory_guardian,memoryguardian,,0b258556de2e401e97014ae48fe96b7a,caed0eac916246ccb12cb6a3ece69c69
m_chief_memory_guardian,추억의 수호대장,168,5855,3253,40883534,s_mon_chief_memory_guardian,chiefmemoryguardian,,de30bc44af34409eb14d46100dc4e48e,f7bc51a56e2e492186a3c82b3528484e
m_dodo,도도,170,5924,3291,49469076,s_mon_dodo,dodo,,2d63f90f9d464f7192713ad9209e9e63,a247729732f0464f85bd2842d5c064a3
m_mateon,마티안,171,5958,3310,54415983,s_mon_mateon,mateon,,53043af9433844258a090f3b231ce39f,56d71f4c4ce847a6a1e902fd6261cfc2
m_plateon,플라티안,173,6026,3348,65843340,s_mon_plateon,plateon,,e03cf5ce06784947b45ce95afb70927c,465e3bc6e1824abead268d7fd6f74568
m_mecateon,메카티안,175,6095,3386,79670441,s_mon_mecateon,mecateon,,1509ce195a5c49a0aea5f9b189ce7edb,00b4d8621703451eb8a270c42ab72f43
m_chief_gray,원로 그레이,178,6197,3443,106041357,s_mon_chief_gray,chiefgray,,48027185a78d470da83199b478bed48b,9e024a03a30d4849b44f4629daad36ef
m_zeno,제노,180,6266,3481,128310042,s_mon_zeno,zeno,,689bc520bc2544abb62ec505ca91aab4,6f1f55e91a08410e8de6599d99333caa
m_official_knight_c,정식기사 C,181,6300,3500,141141046,s_mon_official_knight_c,officialknightc,,da57403b50694b12bf0e19aa3a64112d,76bb745cedb3433c82f224ad384d6bf9
m_official_knight_d,정식기사 D,183,6368,3538,170780666,s_mon_official_knight_d,officialknightd,,1b11119e13474135882191d052342552,df88d461e15a4c7dbcd0102c2cc53526
m_advanced_knight_a,상급기사 A,185,6437,3576,206644606,s_mon_advanced_knight_a,advancedknighta,,b2ab0d2ec4d346079c5738c79c8b909b,d7abb41d5713423b9d71759172fa9edf
m_advanced_knight_b,상급기사 B,188,6539,3633,275043971,s_mon_advanced_knight_b,advancedknightb,,3a107a08957f442d8b3e191258198056,64add2bbd775444781e07eb3e7ea4eb8
m_cygnus,시그너스,190,6608,3671,332803204,s_mon_cygnus,cygnus,,397136593bdb4e37b17d0d9e40ce0006,d54109a127374a51bb997d8a972eb872
m_mutant_dark_stump,변형된 다크 스텀프,191,6642,3690,366083525,s_mon_mutant_dark_stump,mutantdarkstump,,9b09382f4ba6483eb11a931f49a68f9b,2ff809dab03c404f98720eee45f16c6f
m_mutant_iron_hog,변형된 아이언호그,193,6710,3728,442961065,s_mon_mutant_iron_hog,mutantironhog,,cd613d0025674a6f8b1cc7211054eb41,a2b8994ba81a45e7942810afc34c8269
m_mutant_stone_mask,변형된 스톤마스크,195,6779,3766,535982889,s_mon_mutant_stone_mask,mutantstonemask,,f020a220a2ad40a28d4920b790b32f3c,e28e93a960fd4895a7fb7caa952da2ae
m_ancient_dark_golem,에인션트 다크골렘,198,6881,3823,713393225,s_mon_ancient_dark_golem,ancientdarkgolem,,f60c7188fcd544ef869845a34ff92b30,bc874a6c6bf841ff93ef69a63608cc54
m_mutant_stumpy,변형된 스텀피,200,6950,3861,863205802,s_mon_mutant_stumpy,mutantstumpy,,fe3077e91e5442579b6cfaa6b4c59469,5f23e67504a7462fa7c8d9810b9d2652
