"area_id","room_id","map_name","room_type","classification","map_exists","note"
"area_14","r_141","map141","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_14","r_142","map142","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_14","r_143","map143","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_14","r_14a","map14a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_14","r_144","map144","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_14","r_145","map145","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_14","r_146","map146","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_14","r_147","map147","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_151","map151","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_152","map152","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_153","map153","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_15a","map15a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_154","map154","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_155","map155","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_15","r_156","map156","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_15","r_157","map157","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_161","map161","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_162","map162","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_163","map163","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_16a","map16a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_164","map164","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_165","map165","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_16","r_166","map166","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_16","r_167","map167","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_171","map171","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_172","map172","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_173","map173","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_17a","map17a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_174","map174","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_175","map175","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_17","r_176","map176","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_17","r_177","map177","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_181","map181","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_182","map182","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_183","map183","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_18a","map18a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_184","map184","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_185","map185","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_18","r_186","map186","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_18","r_187","map187","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_191","map191","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_192","map192","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_193","map193","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_19a","map19a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_194","map194","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_195","map195","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_19","r_196","map196","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_19","r_197","map197","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_201","map201","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_202","map202","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_203","map203","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_20a","map20a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_204","map204","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_205","map205","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_20","r_206","map206","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_20","r_207","map207","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
