mega_area,source_room,source_map,direction,target_room,target_map,source_portal,target_opposite_portal,roomtable_reciprocal,source_position,target_position,status,notes
mega_01,r_12,map12,west,r_11,map11,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_13,map13,north,r_1a,map1a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_13,map13,south,r_16,map16,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_13,map13,east,r_14,map14,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_13,map13,west,r_12,map12,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_1a,map1a,south,r_13,map13,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_14,map14,south,r_17,map17,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_14,map14,east,r_15,map15,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_14,map14,west,r_13,map13,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_15,map15,west,r_14,map14,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_16,map16,north,r_13,map13,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_16,map16,east,r_17,map17,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_17,map17,north,r_14,map14,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_17,map17,west,r_16,map16,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_041,map041,east,r_042,map042,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_041,map041,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_02,r_042,map042,east,r_043,map043,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_042,map042,west,r_041,map041,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_043,map043,north,r_04a,map04a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_043,map043,south,r_046,map046,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_043,map043,east,r_044,map044,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_043,map043,west,r_042,map042,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_04a,map04a,south,r_043,map043,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_044,map044,south,r_047,map047,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_044,map044,east,r_045,map045,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_044,map044,west,r_043,map043,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_045,map045,west,r_044,map044,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_046,map046,north,r_043,map043,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_046,map046,east,r_047,map047,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_047,map047,north,r_044,map044,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_047,map047,west,r_046,map046,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_21,map21,north,r_town,maptown,YES,NO,NO,0:8,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_01,r_21,map21,east,r_22,map22,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_22,map22,south,r_26,map26,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_22,map22,east,r_23,map23,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_22,map22,west,r_21,map21,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_23,map23,north,r_29,map29,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_23,map23,south,r_27,map27,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_23,map23,east,r_24,map24,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_23,map23,west,r_22,map22,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_29,map29,south,r_23,map23,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_24,map24,east,r_25,map25,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_24,map24,west,r_23,map23,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_25,map25,west,r_24,map24,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_26,map26,north,r_22,map22,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_26,map26,east,r_27,map27,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_27,map27,north,r_23,map23,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_27,map27,west,r_26,map26,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_051,map051,east,r_052,map052,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_051,map051,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_02,r_052,map052,south,r_056,map056,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_052,map052,east,r_053,map053,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_052,map052,west,r_051,map051,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_053,map053,north,r_05a,map05a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_053,map053,south,r_057,map057,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_053,map053,east,r_054,map054,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_053,map053,west,r_052,map052,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_05a,map05a,south,r_053,map053,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_054,map054,east,r_055,map055,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_054,map054,west,r_053,map053,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_055,map055,west,r_054,map054,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_056,map056,north,r_052,map052,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_056,map056,east,r_057,map057,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_057,map057,north,r_053,map053,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_057,map057,west,r_056,map056,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_071,map071,east,r_072,map072,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_071,map071,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_02,r_072,map072,south,r_076,map076,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_072,map072,east,r_073,map073,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_072,map072,west,r_071,map071,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_073,map073,north,r_07a,map07a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_073,map073,south,r_077,map077,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_073,map073,east,r_074,map074,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_073,map073,west,r_072,map072,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_07a,map07a,south,r_073,map073,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_074,map074,east,r_075,map075,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_074,map074,west,r_073,map073,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_075,map075,west,r_074,map074,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_076,map076,north,r_072,map072,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_076,map076,east,r_077,map077,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_077,map077,north,r_073,map073,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_077,map077,west,r_076,map076,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_081,map081,east,r_082,map082,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_081,map081,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_02,r_082,map082,south,r_086,map086,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_082,map082,east,r_083,map083,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_082,map082,west,r_081,map081,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_083,map083,north,r_08a,map08a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_083,map083,south,r_087,map087,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_083,map083,east,r_084,map084,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_083,map083,west,r_082,map082,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_08a,map08a,south,r_083,map083,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_02,r_084,map084,east,r_085,map085,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_084,map084,west,r_083,map083,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_085,map085,west,r_084,map084,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_02,r_086,map086,north,r_082,map082,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_086,map086,east,r_087,map087,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_02,r_087,map087,north,r_083,map083,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_02,r_087,map087,west,r_086,map086,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_091,map091,east,r_092,map092,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_091,map091,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_03,r_092,map092,south,r_096,map096,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_092,map092,east,r_093,map093,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_092,map092,west,r_091,map091,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_093,map093,north,r_09a,map09a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_093,map093,south,r_097,map097,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_093,map093,east,r_094,map094,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_093,map093,west,r_092,map092,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_09a,map09a,south,r_093,map093,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_094,map094,east,r_095,map095,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_094,map094,west,r_093,map093,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_095,map095,west,r_094,map094,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_096,map096,north,r_092,map092,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_096,map096,east,r_097,map097,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_097,map097,north,r_093,map093,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_097,map097,west,r_096,map096,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_101,map101,east,r_102,map102,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_101,map101,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_03,r_102,map102,south,r_106,map106,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_102,map102,east,r_103,map103,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_102,map102,west,r_101,map101,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_103,map103,north,r_10a,map10a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_103,map103,south,r_107,map107,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_103,map103,east,r_104,map104,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_103,map103,west,r_102,map102,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_10a,map10a,south,r_103,map103,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_104,map104,east,r_105,map105,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_104,map104,west,r_103,map103,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_105,map105,west,r_104,map104,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_106,map106,north,r_102,map102,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_106,map106,east,r_107,map107,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_107,map107,north,r_103,map103,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_107,map107,west,r_106,map106,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_111,map111,east,r_112,map112,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_111,map111,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_03,r_112,map112,south,r_116,map116,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_112,map112,east,r_113,map113,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_112,map112,west,r_111,map111,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_113,map113,north,r_11a,map11a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_113,map113,south,r_117,map117,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_113,map113,east,r_114,map114,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_113,map113,west,r_112,map112,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_11a,map11a,south,r_113,map113,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_114,map114,east,r_115,map115,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_114,map114,west,r_113,map113,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_115,map115,west,r_114,map114,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_116,map116,north,r_112,map112,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_116,map116,east,r_117,map117,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_117,map117,north,r_113,map113,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_117,map117,west,r_116,map116,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_121,map121,east,r_122,map122,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_121,map121,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_03,r_122,map122,south,r_126,map126,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_122,map122,east,r_123,map123,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_122,map122,west,r_121,map121,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_123,map123,north,r_12a,map12a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_123,map123,south,r_127,map127,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_123,map123,east,r_124,map124,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_123,map123,west,r_122,map122,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_12a,map12a,south,r_123,map123,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_03,r_124,map124,east,r_125,map125,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_124,map124,west,r_123,map123,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_125,map125,west,r_124,map124,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_03,r_126,map126,north,r_122,map122,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_126,map126,east,r_127,map127,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_03,r_127,map127,north,r_123,map123,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_03,r_127,map127,west,r_126,map126,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_131,map131,east,r_132,map132,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_131,map131,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_04,r_132,map132,south,r_136,map136,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_132,map132,east,r_133,map133,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_132,map132,west,r_131,map131,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_133,map133,north,r_13a,map13a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_133,map133,south,r_137,map137,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_133,map133,east,r_134,map134,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_133,map133,west,r_132,map132,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_13a,map13a,south,r_133,map133,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_134,map134,east,r_135,map135,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_134,map134,west,r_133,map133,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_135,map135,west,r_134,map134,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_136,map136,north,r_132,map132,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_136,map136,east,r_137,map137,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_137,map137,north,r_133,map133,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_137,map137,west,r_136,map136,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_141,map141,east,r_142,map142,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_141,map141,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_04,r_142,map142,south,r_146,map146,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_142,map142,east,r_143,map143,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_142,map142,west,r_141,map141,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_143,map143,north,r_14a,map14a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_143,map143,south,r_147,map147,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_143,map143,east,r_144,map144,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_143,map143,west,r_142,map142,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_14a,map14a,south,r_143,map143,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_144,map144,east,r_145,map145,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_144,map144,west,r_143,map143,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_145,map145,west,r_144,map144,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_146,map146,north,r_142,map142,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_146,map146,east,r_147,map147,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_147,map147,north,r_143,map143,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_147,map147,west,r_146,map146,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_151,map151,east,r_152,map152,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_151,map151,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_04,r_152,map152,south,r_156,map156,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_152,map152,east,r_153,map153,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_152,map152,west,r_151,map151,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_153,map153,north,r_15a,map15a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_153,map153,south,r_157,map157,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_153,map153,east,r_154,map154,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_153,map153,west,r_152,map152,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_15a,map15a,south,r_153,map153,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_154,map154,east,r_155,map155,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_154,map154,west,r_153,map153,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_155,map155,west,r_154,map154,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_156,map156,north,r_152,map152,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_156,map156,east,r_157,map157,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_157,map157,north,r_153,map153,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_157,map157,west,r_156,map156,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_161,map161,east,r_162,map162,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_161,map161,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_04,r_162,map162,south,r_166,map166,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_162,map162,east,r_163,map163,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_162,map162,west,r_161,map161,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_163,map163,north,r_16a,map16a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_163,map163,south,r_167,map167,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_163,map163,east,r_164,map164,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_163,map163,west,r_162,map162,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_16a,map16a,south,r_163,map163,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_04,r_164,map164,east,r_165,map165,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_164,map164,west,r_163,map163,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_165,map165,west,r_164,map164,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_04,r_166,map166,north,r_162,map162,YES,YES,YES,0:8,0:-6,PASS_STATIC,
