mega_area,seed,sequence,source_room,direction,target_room,status,evidence
mega_01,2026092161,19,r_02,west,r_04,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,20,r_04,west,r_003,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,21,r_003,west,r_002,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,22,r_002,west,r_001,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,23,r_001,west,r_006,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,24,r_006,east,r_001,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,1,r_041,east,r_047,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,2,r_047,north,r_043,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,3,r_043,north,r_053,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,4,r_053,north,r_044,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,5,r_044,south,r_053,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,6,r_053,east,r_054,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,7,r_054,east,r_077,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,8,r_077,north,r_073,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,9,r_073,north,r_083,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,10,r_083,north,r_04a,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,11,r_04a,south,r_083,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,12,r_083,east,r_081,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,13,r_081,east,r_085,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,14,r_085,west,r_081,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,15,r_081,west,r_083,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,16,r_083,south,r_073,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,17,r_073,south,r_077,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,18,r_077,west,r_054,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,19,r_054,west,r_053,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,20,r_053,south,r_043,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,21,r_043,south,r_047,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,22,r_047,west,r_041,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,23,r_041,west,r_042,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_02,2026092162,24,r_042,east,r_041,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,1,r_091,east,r_092,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,2,r_092,east,r_097,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,3,r_097,north,r_103,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,4,r_103,north,r_102,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,5,r_102,east,r_112,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,6,r_112,east,r_117,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,7,r_117,north,r_122,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,8,r_122,east,r_095,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,9,r_095,west,r_122,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,10,r_122,west,r_096,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,11,r_096,east,r_122,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,12,r_122,south,r_117,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,13,r_117,west,r_112,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,14,r_112,west,r_102,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,15,r_102,south,r_103,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,16,r_103,east,r_094,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,17,r_094,west,r_103,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,18,r_103,west,r_093,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,19,r_093,east,r_103,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,20,r_103,south,r_097,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,21,r_097,west,r_092,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,22,r_092,west,r_091,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,23,r_091,west,r_104,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_03,2026092163,24,r_104,east,r_091,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,1,r_131,east,r_134,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,2,r_134,east,r_133,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,3,r_133,north,r_142,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,4,r_142,east,r_143,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,5,r_143,north,r_13a,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,6,r_13a,south,r_143,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,7,r_143,south,r_137,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,8,r_137,north,r_143,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,9,r_143,east,r_154,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,10,r_154,east,r_151,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,11,r_151,east,r_162,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,12,r_162,east,r_155,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,13,r_155,west,r_162,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,14,r_162,west,r_151,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,15,r_151,west,r_154,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,16,r_154,west,r_143,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,17,r_143,west,r_142,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,18,r_142,south,r_133,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,19,r_133,west,r_134,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_04,2026092164,20,r_134,west,r_131,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,1,r_171,east,r_177,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,2,r_177,north,r_172,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,3,r_172,east,r_181,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,4,r_181,east,r_197,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,5,r_197,north,r_193,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,6,r_193,east,r_204,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,7,r_204,east,r_205,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,8,r_205,west,r_204,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,9,r_204,west,r_193,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,10,r_193,south,r_197,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,11,r_197,west,r_181,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,12,r_181,west,r_172,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,13,r_172,west,r_176,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,14,r_176,east,r_172,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,15,r_172,south,r_177,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,16,r_177,west,r_171,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,17,r_171,west,r_173,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_05,2026092165,18,r_173,east,r_171,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
