area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,pivot,targeting_range,impact_radius,impact_delay,effect_role,current_use,current_field_or_layer,current_resource,production_decision,required_file_set,frame_count,canvas,frame_seconds,total_seconds,playback_mode,direction_and_engine_motion,future_target,consolidation_strategy,runtime_use,unresolved,evidence,baseline_current_evidence,approved_target_ruid,approved_frame_sprite_ruids,source_path,output_path,preview_reference_files,approval_evidence,approval_status
area_01,헤네시스 근교,002,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PERSISTENT_BUFF_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; defense mechanics may persist but current visual is one-shot CAST only,MonsterAttack defense branch + SkillEffect.PlayCast; no persistent visual entity field,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,002,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,REFERENCE_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,003,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,ICON,true,icon_ruid,6923ce8064e4445d8e63176645943fb1,NEW_ART,ICON/003_m_mushroom_s_mon_mushroom_ICON.png,1,256x256 RGBA,static,static,static,none,icon_ruid,n/a,ui,none,SkillTable.icon_ruid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,003,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,CAST_VFX,true,layer_ruids,"L1:9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0s duration=0.55s scale=0.38 offset=(-0.28,0)wu drift=(-0.28,0.12)wu/s; L2:9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.08s duration=0.6s scale=0.36 offset=(0,0.04)wu drift=(0,0.18)wu/s; L3:9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.16s duration=0.65s scale=0.34 offset=(0.28,-0.04)wu drift=(0.28,0.12)wu/s",NEW_ART,CAST/003_m_mushroom_s_mon_mushroom_CAST_F00.png..._CAST_F07.png,8,384x384 RGBA,0.10,0.8,non-loop one-shot,SkillEffect applies FlipX for directional attacks; delayed layer samples caster position at SpawnLayer execution; map entity then applies drift,layer_ruids,COMPOSITE_BAKED_ONE_CLIP: preserve L1..Ln relative delay/offset/drift rhythm inside one accepted local-canvas clip; final layer metadata becomes one primary layer after approval,true,none,SkillTable layer/effect fields; SkillEffect.PlayCast/SpawnLayer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,003,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PROJECTILE,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,003,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,HIT_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; no dedicated hit/impact visual field or Spawn call in current common projectile path,PlayerAttack.ResolveThrowHit; MonsterAttack.ResolveThrowHit; SkillEffect has no hit asset argument,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,003,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PERSISTENT_BUFF_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; defense mechanics may persist but current visual is one-shot CAST only,MonsterAttack defense branch + SkillEffect.PlayCast; no persistent visual entity field,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,003,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,REFERENCE_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,004,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,ICON,true,icon_ruid,0b09a6a325c54caca2282859ae624b22,NEW_ART,ICON/004_m_mushmom_s_mon_mushmom_ICON.png,1,256x256 RGBA,static,static,static,none,icon_ruid,n/a,ui,none,SkillTable.icon_ruid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,004,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,CAST_VFX,true,layer_ruids,"L1:05113e9dc86448cb8581731824106d75 animationclip/clip delay=0s duration=0.75s scale=0.9 offset=(0,-0.08)wu drift=(0,0)wu/s; L2:86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.1s duration=0.72s scale=1.15 offset=(0,-0.08)wu drift=(0,0)wu/s; L3:9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.22s duration=0.7s scale=0.72 offset=(0,0)wu drift=(0,0.18)wu/s",NEW_ART,CAST/004_m_mushmom_s_mon_mushmom_CAST_F00.png..._CAST_F11.png,12,512x512 RGBA,0.08,0.96,non-loop one-shot,SkillEffect applies FlipX for directional attacks; delayed layer samples caster position at SpawnLayer execution; map entity then applies drift,layer_ruids,COMPOSITE_BAKED_ONE_CLIP: preserve L1..Ln relative delay/offset/drift rhythm inside one accepted local-canvas clip; final layer metadata becomes one primary layer after approval,true,none,SkillTable layer/effect fields; SkillEffect.PlayCast/SpawnLayer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,004,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PROJECTILE,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,004,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,HIT_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; no dedicated hit/impact visual field or Spawn call in current common projectile path,PlayerAttack.ResolveThrowHit; MonsterAttack.ResolveThrowHit; SkillEffect has no hit asset argument,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,004,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PERSISTENT_BUFF_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; defense mechanics may persist but current visual is one-shot CAST only,MonsterAttack defense branch + SkillEffect.PlayCast; no persistent visual entity field,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,004,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,REFERENCE_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,005,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,ICON,true,icon_ruid,0928f98bbd114efc935696c1200c9d39,NEW_ART,ICON/005_m_horny_mushroom_s_mon_horny_mushroom_ICON.png,1,256x256 RGBA,static,static,static,none,icon_ruid,n/a,ui,none,SkillTable.icon_ruid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,005,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,CAST_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,005,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PROJECTILE,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,005,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,HIT_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; no dedicated hit/impact visual field or Spawn call in current common projectile path,PlayerAttack.ResolveThrowHit; MonsterAttack.ResolveThrowHit; SkillEffect has no hit asset argument,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,005,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PERSISTENT_BUFF_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; defense mechanics may persist but current visual is one-shot CAST only,MonsterAttack defense branch + SkillEffect.PlayCast; no persistent visual entity field,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,005,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,REFERENCE_VFX,input_reference_only,reference source; not runtime field,INPUT design reference,NEW_ART,REFERENCE/005_m_horny_mushroom_s_mon_horny_mushroom_REFERENCE_F00.png..._REFERENCE_F05.png,6,256x256 RGBA,0.10,0.6000000000000001,preview-only non-loop,preview only; no engine motion/FlipX contract,none,preview/reference only; never auto-import as CAST,false,none,passive execution has no PlayCast; V2.2 REFERENCE_VFX scope,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_02,페리온,001,m_stone_golem,스톤골렘,s_mon_stone,암석 피부,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,ICON,true,icon_ruid,cba9471e009f46ee9c786f31d29c3848,NEW_ART,ICON/001_m_stone_golem_s_mon_stone_ICON.png,1,256x256 RGBA,static,static,static,none,icon_ruid,n/a,ui,none,SkillTable.icon_ruid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
