SkillID,ExecutedRounds,SlotRetained,CooldownImmediateBlock,CooldownExpiredReuse,DamageOrDefenseObserved,VFXLog,VisualReview,Terrain,Replacement,Status
s_mon_memory_monk_trainee,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mushmom,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mushroom,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mutant_iron_hog,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mutant_stumpy,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_octopus,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_official_knight_c,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_peach_monkey,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_pianus,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_red_snail,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_ribbon_pig,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_roid,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_rombot,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_shade,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_shark,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_skeleton_commander,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_slime,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_snail_dew_trail,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_snow_witch,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_squid,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_star_pixie,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_starfish,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_stone,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_stumpy,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_tae_roon,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_tauromacis,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_timer,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_toy_trojan,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_white_fang,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_white_sand_rabbit,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_wild_boar,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_wild_kargo,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_wooden_dummy,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_zeno,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
