SkillID,Monster,SkillName,Type,SlotEquip,Activation,VFX,ActualEffect,Cooldown,TerrainWall,ReplaceReacquire,Status,Notes
s_mon_dodo,"도도","기억 포식",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_drake,"드레이크","동굴 용염",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_drumming_bunny,"북치는 토끼","태엽 북진동",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_eliza,"엘리쟈","여신의 정원 폭풍",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_fairy,"페어리","요정의 마법가루",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_faust,"파우스트","저주의 인형",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_fire_boar,"파이어보어","화염 돌풍",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_hector,"헥터","설원 늑대 발톱",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_homun,"호문","플라스크 독무",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_jr_balrog,"주니어 발록","발록의 화염 파동",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_jr_wraith,"주니어 레이스","망령 충격",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_king_bloctopus,"킹 블록퍼스","왕관 블록탄",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_king_clang,"킹크랑","왕게의 집게 파도",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_lunar_pixie,"루나픽시","월광 구슬",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_mano,"마노","마노의 무지개 파동",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_manon,"마뇽","마뇽의 용화염",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_mateon,"마티안","마티안 광선탄",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_mecateon,"메카티안","기계화 레이저",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_meercat,"미요캐츠","미요캐츠의 모래매복",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_memory_monk_trainee,"추억의 신관","추억의 기도파",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_mushmom,"머쉬맘","머쉬맘의 포자 충격",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_mushroom,"주황 버섯","포자 살포",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_mutant_iron_hog,"변형된 아이언호그","황야의 철갑 돌진",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_mutant_stumpy,"변형된 스텀피","검은 뿌리의 묘지",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_octopus,"옥토퍼스","먹물 폭발",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_official_knight_c,"정식기사 C","기사단 뇌전 연각",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_peach_monkey,"원공","천도 투척",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_pianus,"피아누스","심해왕의 광선",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_red_snail,"빨간 달팽이","붉은 껍질 돌진",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_ribbon_pig,"리본 돼지","리본 돌진",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_roid,"로이드","알카드노 에너지탄",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_rombot,"롬바드","에오스 중력파",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_shade,"셰이드","심연의 장막",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_shark,"샤크","포식자의 수류탄",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_skeleton_commander,"스켈레톤 지휘관","뼈 무덤",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_slime,"슬라임","끈적한 몸통",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_snail_dew_trail,"달팽이","이슬 미끄럼길",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_snow_witch,"설산의 마녀","추방자의 눈보라",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_squid,"스퀴드","심해 먹물 폭발",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_star_pixie,"스타픽시","별빛 탄환",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_starfish,"불가사리","별가시 회전",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_stone,"스톤골렘","암석 피부",Defense,PASS,PASS,PASS_LOG,PASS,PASS,NOT_APPLICABLE,PASS,PASS_RUNTIME,"shield/defense observed"
s_mon_stumpy,"스텀피","고목의 생기탄",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_tae_roon,"태륜","태륜의 쌍권풍",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_tauromacis,"타우로마시스","수문장의 낙뢰",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_timer,"타이머","시간 정지 충격",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_toy_trojan,"장난감 목마","태엽 목마 돌진",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_white_fang,"화이트팽","화이트팽의 빙설 송곳니",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_white_sand_rabbit,"흰 모래토끼","사막 굴착탄",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_wild_boar,"와일드보어","저돌 맹진",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_wild_kargo,"와일드카고","야수의 그림자 돌진",Rush,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"rush runtime; no internal wall geometry"
s_mon_wooden_dummy,"수련용 나무인형","목인 회전타",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_zeno,"제노","제노의 중력장",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
