generation_run,tool_log_line,reference_path,sha256,reference_role,actual_tool_input,polarity
INITIAL_MUSHROOM_ICON,506,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_212559\provenance\AREA_01_INPUT\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
INITIAL_MUSHROOM_ICON,506,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\004_m_mano_마노\ICON\004_m_mano_s_mon_mano_ICON.png,376a834788509b198e36b78ce67fae4b14e2f543f7bd8832bb88e6a87f76c667,AREA00_ICON_FINISH,YES,positive
INITIAL_MUSHROOM_CAST,522,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_212559\provenance\AREA_01_INPUT\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
INITIAL_MUSHROOM_CAST,522,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\004_m_mano_마노\VFX\004_m_mano_s_mon_mano_F04.png,8f3bf1900a0237f0ff008b436a506346d715e62e7c431f46e53e59c94c56b915,AREA00_VFX_FINISH,YES,positive
INITIAL_MUSHROOM_CAST,522,C:\Users\dddd\.codex\generated_images\01a0955f-0d5b-7931-a751-c770b2046bd8\exec-2e715bb0-c8f1-410b-9ebe-95db3c561eb7.png,74a38dd2209f41b25b5b6d851e94c1cbd17867d2b78da6bf5529e6caf77d4e7b,NEW_AREA01_ICON_LATER_REJECTED,YES,positive
RESTART,1124,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_220728_RESTART\provenance\AREA_01\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
RESTART,1124,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\002_m_blue_snail_파란_달팽이\VFX\002_m_blue_snail_s_mon_blue_snail_F04.png,0bce8d96d2dbfc9ed65f5735bf440ff5467d1e6daddf44769af7c501530720b7,AREA00_VFX_FINISH,YES,positive
RESTART,1124,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\003_m_red_snail_빨간_달팽이\VFX\003_m_red_snail_s_mon_red_snail_F05.png,05643afdd7f9a4441b531468226ac429846f071b759c3fd598337e2114b9f21e,AREA00_VFX_FINISH,YES,positive
RESTART,1134,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_220728_RESTART\provenance\AREA_01\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
RESTART,1134,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\002_m_blue_snail_파란_달팽이\VFX\002_m_blue_snail_s_mon_blue_snail_F04.png,0bce8d96d2dbfc9ed65f5735bf440ff5467d1e6daddf44769af7c501530720b7,AREA00_VFX_FINISH,YES,positive
RESTART,1134,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\003_m_red_snail_빨간_달팽이\VFX\003_m_red_snail_s_mon_red_snail_F05.png,05643afdd7f9a4441b531468226ac429846f071b759c3fd598337e2114b9f21e,AREA00_VFX_FINISH,YES,positive
RESTART,1153,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_220728_RESTART\provenance\AREA_01\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
RESTART,1153,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\002_m_blue_snail_파란_달팽이\VFX\002_m_blue_snail_s_mon_blue_snail_F04.png,0bce8d96d2dbfc9ed65f5735bf440ff5467d1e6daddf44769af7c501530720b7,AREA00_VFX_FINISH,YES,positive
RESTART,1153,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\003_m_red_snail_빨간_달팽이\VFX\003_m_red_snail_s_mon_red_snail_F05.png,05643afdd7f9a4441b531468226ac429846f071b759c3fd598337e2114b9f21e,AREA00_VFX_FINISH,YES,positive
ANCHOR_01,1254,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\005_m_slime_슬라임\VFX\005_m_slime_s_mon_slime_F04.png,f74efd3294d0a7c8c358bdf258c595f6793d246c6f49fb6cfbc2998803772108,AREA00_VFX_FINISH,YES,positive
ANCHOR_01,1254,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_222656_ANCHOR\input\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
ANCHOR_02,1269,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\005_m_slime_슬라임\VFX\005_m_slime_s_mon_slime_F04.png,f74efd3294d0a7c8c358bdf258c595f6793d246c6f49fb6cfbc2998803772108,AREA00_VFX_FINISH,YES,positive
ANCHOR_ALPHA_TEST,1286,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_222656_ANCHOR\source\keyframe_attempt02.png,e680e148237ecc20ac2d90f2ce8ca59679b6fe4f384af9ea8fe12029a8faf70d,FAILED_EDIT_TARGET_NOT_STYLE_REFERENCE,YES,negative
GRAMMAR,1373,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\002_m_blue_snail_파란_달팽이\VFX\002_m_blue_snail_s_mon_blue_snail_F04.png,0bce8d96d2dbfc9ed65f5735bf440ff5467d1e6daddf44769af7c501530720b7,AREA00_VFX_FINISH,YES,positive
GRAMMAR,1373,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_225116_GRAMMAR\input\AREA_01_IMAGES_INPUT_V2_4\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
GRAMMAR,1396,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\002_m_blue_snail_파란_달팽이\VFX\002_m_blue_snail_s_mon_blue_snail_F04.png,0bce8d96d2dbfc9ed65f5735bf440ff5467d1e6daddf44769af7c501530720b7,AREA00_VFX_FINISH,YES,positive
GRAMMAR,1396,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_225116_GRAMMAR\input\AREA_01_IMAGES_INPUT_V2_4\monsters\003_m_mushroom_주황_버섯\MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,MONSTER_IDENTITY,YES,positive
INITIAL_MUSHMOM_RETRY,647,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_212559\provenance\AREA_01_INPUT\monsters\004_m_mushmom_머쉬맘\MONSTER_IMAGE.png,d475d084a2630c88270472a946ceb2603b0494efd1a9eb873d2b09fa7788991b,MONSTER_IDENTITY,YES,positive
INITIAL_MUSHMOM_RETRY,647,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\004_m_mano_마노\VFX\004_m_mano_s_mon_mano_F04.png,8f3bf1900a0237f0ff008b436a506346d715e62e7c431f46e53e59c94c56b915,AREA00_VFX_FINISH,YES,positive
INITIAL_MUSHMOM_RETRY,647,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_212559\BATCH_01\AREA_01_IMAGES_OUTPUT\SOURCE_SHEET\m_mushmom\ICON\source_00_1.png,ede3c1585716abce76cd8e32b33368f634b122259fc0bc41297799e1234a6862,CURRENT_AREA01_ICON_SOURCE_CALL_ATTEMPT,YES,positive
INITIAL_HORN_REFERENCE_VFX,678,D:\maplestory_levup\docs\art\output_style_unified_batches\20260912_212559\provenance\AREA_01_INPUT\monsters\005_m_horny_mushroom_뿔버섯\MONSTER_IMAGE.png,b6b0a1b34bbf5f7ac0ffbb4e4179cb6bd7445a2ae45fbd235d661ac390f1db54,MONSTER_IDENTITY,YES,positive
INITIAL_HORN_REFERENCE_VFX,678,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\004_m_mano_마노\ICON\004_m_mano_s_mon_mano_ICON.png,376a834788509b198e36b78ce67fae4b14e2f543f7bd8832bb88e6a87f76c667,AREA00_ICON_USED_FOR_VFX,YES,positive
AREA00_ORIGINAL,UNKNOWN,UNKNOWN actual tool input list; manifest only,UNKNOWN,MONSTER/VFX/ICON/STYLE,UNKNOWN,UNKNOWN
