source_sheet,output_file,coord,target_size
SOURCE_SHEETS/a_high_resolution_transparent_background_png_style_4_batch_4.png,PROJECTILE/003_m_lunar_pixie_s_mon_lunar_pixie_PROJECTILE_F03.png,"(627, 627, 1254, 1254)",384x384
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_game_7_batch_7.png,REFERENCE/004_m_luster_pixie_s_mon_luster_pixie_REFERENCE_F00.png,"(0, 0, 512, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_game_7_batch_7.png,REFERENCE/004_m_luster_pixie_s_mon_luster_pixie_REFERENCE_F01.png,"(512, 0, 1024, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_game_7_batch_7.png,REFERENCE/004_m_luster_pixie_s_mon_luster_pixie_REFERENCE_F02.png,"(1024, 0, 1536, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_game_7_batch_7.png,REFERENCE/004_m_luster_pixie_s_mon_luster_pixie_REFERENCE_F03.png,"(0, 512, 512, 1024)",256x256
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_game_7_batch_7.png,REFERENCE/004_m_luster_pixie_s_mon_luster_pixie_REFERENCE_F04.png,"(512, 512, 1024, 1024)",256x256
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_game_7_batch_7.png,REFERENCE/004_m_luster_pixie_s_mon_luster_pixie_REFERENCE_F05.png,"(1024, 512, 1536, 1024)",256x256
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F00.png,"(0, 0, 362, 362)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F01.png,"(362, 0, 724, 362)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F02.png,"(724, 0, 1086, 362)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F03.png,"(1086, 0, 1448, 362)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F04.png,"(0, 362, 362, 724)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F05.png,"(362, 362, 724, 724)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F06.png,"(724, 362, 1086, 724)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F07.png,"(1086, 362, 1448, 724)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F08.png,"(0, 724, 362, 1086)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F09.png,"(362, 724, 724, 1086)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F10.png,"(724, 724, 1086, 1086)",512x512
SOURCE_SHEETS/a_clean_transparent_background_sprite_sheet_conc_5_batch_5.png,CAST/005_m_eliza_s_mon_eliza_CAST_F11.png,"(1086, 724, 1448, 1086)",512x512
